ProteinID,Gene,Description,control_1 Intensity,control_2 Intensity,control_3 Intensity,treatment_1 Intensity,treatment_2 Intensity,treatment_3 Intensity
O14602,EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal",22.2099,21.592,20.7003,20.7429,22.9324,21.2459
O14638,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,21.474,20.6619,22.9603,24.5989,24.0503,24.2121
O14653,GOSR2,Golgi SNAP receptor complex member 2,21.6688,20.8583,21.3721,23.8918,23.5977,23.5585
O14681,EI24,Etoposide-induced protein 2.4 homolog,23.1007,21.0636,21.8548,23.0972,22.3312,22.8519
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,21.6075,21.1508,21.4557,23.4595,20.8745,23.1579
O14744,PRMT5,Protein arginine N-methyltransferase 5,28.028,24.9444,25.1486,25.5355,24.8218,27.6572
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,27.2337,27.4828,26.9099,27.8943,27.9305,27.5861
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,21.1647,21.7753,22.6812,23.1247,23.2439,21.5
O14773,TPP1,Tripeptidyl-peptidase 1,25.9457,26.5394,25.1103,31.1916,31.2793,31.4297
O14776,TCERG1,Transcription elongation regulator 1,26.3557,27.1651,26.7975,27.0734,27.1905,26.8931
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,22.4884,21.1231,21.0832,20.8127,22.6115,21.4133
O14818,PSMA7,Proteasome subunit alpha type-7,26.9218,26.4189,26.1343,26.5196,27.0112,26.9595
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,25.3943,25.0046,24.8099,26.6895,26.4684,26.6806
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",23.596,21.1354,20.4127,23.079,23.0754,20.8723
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,21.5034,22.3243,23.3625,22.6387,22.3018,21.5028
O14893,GEMIN2,Gem-associated protein 2,21.9456,20.809,24.9165,24.7057,20.9528,20.8149
O14929,HAT1,Histone acetyltransferase type B catalytic subunit,23.4774,22.5746,21.96,23.1001,21.9079,22.8151
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,29.6251,30.7546,30.2648,29.2462,28.6109,29.0253
O14950,MYL12B,Myosin regulatory light chain 12B,25.7459,25.8833,26.0838,25.5647,25.5566,25.7119
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,25.7352,25.6176,25.8551,26.3749,26.2274,26.5254
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,23.4557,21.2582,26.2721,23.3719,21.7878,22.0637
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,29.0742,29.2125,29.1623,32.6022,28.6117,28.4253
O14980,XPO1,Exportin-1,24.0651,22.3325,21.0583,23.8818,23.8525,24.3157
O15031,PLXNB2,Plexin-B2,25.5971,26.2824,25.9382,29.8685,29.993,29.7809
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,26.4089,27.037,26.9915,26.5439,26.9163,26.7501
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,22.2981,21.2816,22.0454,23.3075,22.6579,23.8205
O15118,NPC1,NPC intracellular cholesterol transporter 1,21.7859,23.075,22.3751,25.868,25.7798,26.0803
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,25.4858,23.1612,25.1037,25.8487,26.2695,26.7914
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,24.7453,23.1151,24.8581,25.2561,24.7395,25.0967
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,25.4392,26.1019,25.1011,26.4502,26.3624,26.1956
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,24.8894,25.4431,24.9929,26.7711,25.5348,25.7269
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,21.9918,22.2002,21.6917,22.6385,24.7299,23.0692
O15164,TRIM24,Transcription intermediary factor 1-alpha,22.3462,22.9933,21.5532,21.8097,23.8314,21.217
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,24.0915,25.3728,23.984,25.7924,24.8901,24.4053
O15230,LAMA5,Laminin subunit alpha-5,24.6995,26.0746,26.6335,28.1329,27.8769,27.7033
O15232,MATN3,Matrilin-3,22.1027,23.0449,22.8929,23.1601,23.4677,22.1705
O15258,RER1,Protein RER1,21.81,20.5957,21.6631,20.0894,23.7346,22.0337
O15260,SURF4,Surfeit locus protein 4,24.9513,26.0588,25.2793,26.6452,26.2874,26.3252
O15321,TM9SF1,Transmembrane 9 superfamily member 1,22.1229,20.9479,22.3328,23.0558,22.3766,22.774
O15355,PPM1G,Protein phosphatase 1G,22.4062,24.6608,24.7231,25.1821,24.5908,24.5595
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,25.8605,26.4804,26.4804,26.1982,23.8244,26.1087
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,25.7746,24.8092,25.6178,26.491,26.349,25.6483
O15400,STX7,Syntaxin-7,25.0101,25.6344,24.4542,25.8436,26.4451,25.7524
O15427,SLC16A3,Monocarboxylate transporter 4,23.013,22.0756,21.3572,27.7702,27.5821,24.3913
O15431,SLC31A1,High affinity copper uptake protein 1,21.5316,21.402,20.8277,23.7619,22.2265,24.5426
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,26.0347,26.2817,26.174,26.5515,27.3739,27.1549
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,20.6823,24.7155,24.1046,22.1692,21.6756,20.6185
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,23.6569,23.6075,23.7604,23.614,21.7234,23.606
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,26.8853,26.5105,26.2555,27.3376,26.5757,27.0439
O43148,RNMT,mRNA cap guanine-N7 methyltransferase,25.3559,25.8079,24.647,24.6996,25.515,24.2483
O43157,PLXNB1,Plexin-B1,21.9173,20.9356,21.8144,24.7468,24.3605,24.3857
O43159,RRP8,Ribosomal RNA-processing protein 8,25.2787,24.6979,25.2258,24.7078,24.6171,24.9399
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,26.4251,26.2091,26.016,25.8424,26.0806,26.3273
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,28.4829,28.2616,28.4832,28.7381,27.9855,28.148
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,25.7715,25.2541,26.1265,27.3277,26.6728,27.2968
O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,22.5827,22.5949,22.8094,22.1017,21.8368,22.0002
O43264,ZW10,Centromere/kinetochore protein zw10 homolog,22.0595,21.9029,21.9726,21.3958,21.9727,20.7439
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,24.8509,25.7378,23.8007,22.7827,22.9946,21.4657
O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,24.3949,25.6199,24.6903,27.0266,25.9788,24.8188
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,29.6888,29.9989,30.1266,30.2807,29.9951,30.2714
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,23.5955,23.7451,21.5897,22.5644,24.1527,21.681
O43396,TXNL1,Thioredoxin-like protein 1,21.4876,21.765,21.0327,24.427,22.6544,24.6733
O43399,TPD52L2,Tumor protein D54,25.6782,26.0121,25.8895,25.0598,24.1519,24.6719
O43402,EMC8,ER membrane protein complex subunit 8,23.7484,21.4603,23.7173,24.8986,24.9677,25.5038
O43464,HTRA2,"Serine protease HTRA2, mitochondrial",22.1069,20.5883,21.8858,27.5173,27.3753,26.9172
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,21.919,21.7938,21.8082,23.4218,25.6899,22.4478
O43491,EPB41L2,Band 4.1-like protein 2,26.2151,27.0221,27.5745,27.8739,27.4329,27.6538
O43493,TGOLN2,Trans-Golgi network integral membrane protein 2,22.6586,22.2326,22.9707,22.0609,23.2105,22.4197
O43567,RNF13,E3 ubiquitin-protein ligase RNF13,22.0126,20.2971,20.9264,25.9099,25.1391,25.5532
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,23.0059,25.6696,25.2363,26.7472,26.3287,25.7943
O43617,TRAPPC3,Trafficking protein particle complex subunit 3,21.0331,21.3454,22.7108,22.4712,20.9326,22.3056
O43660,PLRG1,Pleiotropic regulator 1,24.5104,24.8736,23.8339,25.8664,26.1124,25.9914
O43670,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,22.1629,23.7756,24.2357,23.6663,21.6777,23.8688
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",20.8042,22.9258,22.9601,23.4281,21.7687,22.8512
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,25.6708,25.7238,25.5734,25.0019,24.627,24.4206
O43681,ASNA1,ATPase ASNA1,22.6813,23.648,23.7702,24.1114,24.0845,23.2599
O43684,BUB3,Mitotic checkpoint protein BUB3,23.7642,24.7714,24.5744,24.851,24.9151,24.5649
O43707,ACTN4,Alpha-actinin-4,32.2831,32.4144,32.2936,33.5307,33.4388,33.365
O43719,HTATSF1,HIV Tat-specific factor 1,24.2876,24.3626,23.9216,23.7865,23.7855,23.7875
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,20.9235,24.1288,24.3607,22.8616,23.1367,25.9222
O43776,NARS,"Asparagine--tRNA ligase, cytoplasmic",25.9675,26.3068,26.1556,26.9234,26.421,26.0682
O43795,MYO1B,Unconventional myosin-Ib,24.3207,24.9014,25.9635,26.9343,25.9903,24.7895
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,26.019,25.6446,23.8187,25.8719,26.1805,25.7165
O43813,LANCL1,LanC-like protein 1,21.6742,21.6941,20.5234,24.5567,24.0107,22.7838
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2,24.5085,25.4439,25.4777,25.176,25.276,25.7819
O43823,AKAP8,A-kinase anchor protein 8,23.7387,23.6842,22.8465,23.6137,23.6214,20.5734
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",26.2224,26.3006,26.0229,26.9412,26.5286,26.7413
O43852,CALU,Calumenin,27.3858,27.8309,27.1497,29.6231,29.6151,29.257
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,24.291,24.0625,22.0049,24.8156,23.3918,24.6862
O60216,RAD21,Double-strand-break repair protein rad21 homolog,21.3,23.9565,24.1433,24.3095,23.5381,23.963
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,22.3605,21.9609,21.9279,23.8619,24.1245,23.6047
O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial",21.5338,24.1535,22.7887,28.2977,28.3858,28.1439
O60341,KDM1A,Lysine-specific histone demethylase 1A,23.1522,25.0661,24.4669,25.1695,25.1387,25.6029
O60343,TBC1D4,TBC1 domain family member 4,22.4089,22.0913,23.7751,23.5922,23.6448,24.3597
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,30.0392,30.2214,30.1853,30.4299,30.5334,30.1715
O60493,SNX3,Sorting nexin-3,21.0032,22.2491,21.7664,24.5426,21.6922,25.1025
O60504,SORBS3,Vinexin,24.7175,23.3902,24.3256,25.473,26.2439,26.0866
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,27.4128,27.9109,27.3407,28.7076,28.0709,27.4383
O60547,GMDS,"GDP-mannose 4,6 dehydratase",26.3921,25.9836,26.1382,27.1041,26.2924,26.7586
O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",27.2219,27.4357,27.3576,27.8986,28.0793,27.7501
O60637,TSPAN3,Tetraspanin-3,21.6218,22.7865,21.2612,23.6773,24.3096,24.0567
O60664,PLIN3,Perilipin-3,24.0524,21.7436,23.4359,27.3921,26.9826,27.074
O60684,KPNA6,Importin subunit alpha-7,23.8624,23.8144,24.3642,23.8873,24.7561,23.7733
O60701,UGDH,UDP-glucose 6-dehydrogenase,30.7315,30.3013,30.4405,30.8243,30.5843,30.6234
O60716,CTNND1,Catenin delta-1,26.8454,27.8193,26.2348,27.7338,28.1678,27.5943
O60749,SNX2,Sorting nexin-2,26.6948,26.7213,27.1961,27.9616,27.989,27.9431
O60763,USO1,General vesicular transport factor p115,26.7524,27.0746,27.6013,28.2322,28.3507,28.0356
O60784,TOM1,Target of Myb protein 1,23.0349,23.0223,23.2084,24.5246,24.4787,24.4474
O60814,HIST1H2BK,Histone H2B type 1-K,21.586,22.1424,25.0673,22.6499,22.653,22.5464
O60828,PQBP1,Polyglutamine-binding protein 1,22.4832,23.8122,23.5486,23.0703,20.6873,23.0914
O60832,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,27.3256,27.4371,27.6638,27.5094,27.314,27.3005
O60841,EIF5B,Eukaryotic translation initiation factor 5B,25.9044,24.7634,26.2764,26.7278,26.5451,26.1763
O60869,EDF1,Endothelial differentiation-related factor 1,21.0262,22.5085,22.1591,22.5817,22.9819,22.8473
O60884,DNAJA2,DnaJ homolog subfamily A member 2,26.0631,26.0385,25.7298,27.5155,27.4562,26.8772
O60885,BRD4,Bromodomain-containing protein 4,26.09,26.6948,25.7629,26.3032,26.3903,25.6073
O60888,CUTA,Protein CutA,23.8081,23.6054,23.6329,23.0789,23.1677,22.4421
O75083,WDR1,WD repeat-containing protein 1,26.7383,27.0999,26.8663,28.0533,27.6698,27.7076
O75116,ROCK2,Rho-associated protein kinase 2,24.2849,23.3989,22.2054,24.6092,25.2427,26.2948
O75153,CLUH,Clustered mitochondria protein homolog,20.5606,20.9925,23.474,22.445,22.6847,24.1737
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",21.2952,21.4325,23.0261,21.8862,23.7124,22.4601
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",23.0516,23.1599,21.7863,24.2147,23.4411,23.2943
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",26.3197,26.3883,26.1308,26.23,25.9362,26.7139
O75312,ZPR1,Zinc finger protein ZPR1,20.9292,21.0453,22.6998,22.9796,22.1921,21.2804
O75323,NIPSNAP2,Protein NipSnap homolog 2,22.4559,25.8658,25.7409,24.8813,25.6184,24.6314
O75347,TBCA,Tubulin-specific chaperone A,25.2973,25.2751,25.981,21.2143,21.0658,23.3299
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,24.65,23.8637,25.0153,23.0536,23.0316,23.3216
O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein,21.7223,21.6736,23.9854,23.5656,23.4598,23.8938
O75356,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,23.5878,24.4397,23.3187,25.4144,25.9368,25.2064
O75367,H2AFY,Core histone macro-H2A.1,27.3745,27.5485,27.4067,27.2947,27.4779,27.4053
O75369,FLNB,Filamin-B,32.3331,32.4549,32.406,32.9295,32.7913,32.7878
O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",20.744,21.1495,21.371,25.3256,24.7198,25.1768
O75390,CS,"Citrate synthase, mitochondrial",28.6704,29.1958,28.9589,29.4339,29.599,29.3977
O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A,29.3969,29.8393,29.6196,29.1709,29.3361,28.9066
O75431,MTX2,Metaxin-2,22.0251,20.7936,23.7821,24.1386,24.3327,23.8541
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,20.4863,22.6289,21.7775,25.0838,20.3252,24.5238
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,28.0632,27.6774,27.9051,27.9261,27.9107,28.0854
O75475,PSIP1,PC4 and SFRS1-interacting protein,23.9309,24.829,24.957,24.8916,23.4808,24.8874
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",26.6352,25.6775,26.4876,26.8804,26.5641,26.3612
O75494,SRSF10,Serine/arginine-rich splicing factor 10,26.6623,27.6134,27.5061,26.6847,26.0551,25.9463
O75521,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",29.291,29.5358,29.4251,29.7864,29.7791,29.441
O75533,SF3B1,Splicing factor 3B subunit 1,24.4058,26.6926,23.5758,26.6295,27.0756,26.1896
O75534,CSDE1,Cold shock domain-containing protein E1,24.9766,23.7111,24.8436,25.9509,25.8697,26.3118
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,23.0819,23.8384,24.2182,25.5235,25.5928,25.0158
O75607,NPM3,Nucleoplasmin-3,24.2983,24.9723,23.2888,24.1626,24.6657,24.2228
O75608,LYPLA1,Acyl-protein thioesterase 1,22.0949,24.5642,21.8315,24.2187,24.3496,25.2381
O75616,ERAL1,"GTPase Era, mitochondrial",22.828,23.7362,24.6173,23.1322,23.1425,23.7216
O75629,CREG1,Protein CREG1,20.7537,22.8537,22.3065,27.7,27.967,26.085
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,27.551,28.2002,28.1907,27.7723,27.9083,27.3607
O75683,SURF6,Surfeit locus protein 6,26.6243,26.8263,27.1877,26.4895,26.647,24.3182
O75694,NUP155,Nuclear pore complex protein Nup155,23.7656,23.3776,24.8808,25.4862,25.151,25.1816
O75718,CRTAP,Cartilage-associated protein,23.5523,24.8231,23.5506,26.2606,26.523,26.7257
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,20.6358,19.8234,21.7369,23.7572,20.1461,23.379
O75764,TCEA3,Transcription elongation factor A protein 3,22.2398,21.9316,24.0134,24.8196,21.6487,20.3382
O75787,ATP6AP2,Renin receptor,21.6762,21.3363,23.0075,21.8017,21.4203,21.0272
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,26.3355,26.2802,26.6919,26.5375,26.3685,26.4809
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,25.1733,24.8341,25.0759,24.6782,24.4864,24.5099
O75844,ZMPSTE24,CAAX prenyl protease 1 homolog,26.3818,25.1164,25.0218,28.3915,27.9732,28.1888
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,29.1531,28.8318,28.9199,28.9414,28.8449,28.8702
O75880,SCO1,"Protein SCO1 homolog, mitochondrial",22.0511,22.6313,21.808,24.8457,24.2703,24.9033
O75882,ATRN,Attractin,21.4725,20.756,22.2705,25.7387,26.0898,25.5611
O75934,BCAS2,Pre-mRNA-splicing factor SPF27,21.7014,21.2489,24.2416,25.116,25.075,23.4242
O75947,ATP5H,"ATP synthase subunit d, mitochondrial",27.7197,28.4933,28.569,28.4088,28.0653,27.8785
O75955,FLOT1,Flotillin-1,22.1727,22.869,24.5728,26.7719,27.086,26.9819
O75976,CPD,Carboxypeptidase D,23.0612,25.3802,23.4387,27.3278,26.5694,27.2247
O76009,KRT33A,"Keratin, type I cuticular Ha3-I",27.1295,21.2967,21.9398,21.904,21.1036,22.581
O76013,KRT36,"Keratin, type I cuticular Ha6",29.7951,21.5439,23.386,20.785,20.6618,19.7
O76021,RSL1D1,Ribosomal L1 domain-containing protein 1,29.1248,29.5647,30.2004,29.0382,29.1653,29.156
O76031,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",23.69,25.8736,25.3486,25.9294,25.9348,25.1275
O76094,SRP72,Signal recognition particle subunit SRP72,25.456,27.5106,27.0266,28.6838,28.3252,27.9927
O94760,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",21.9935,24.0298,23.8974,24.1025,23.9835,22.066
O94826,TOMM70,Mitochondrial import receptor subunit TOM70,26.9311,26.5946,27.176,27.9499,27.1976,27.4006
O94855,SEC24D,Protein transport protein Sec24D,21.5876,21.4646,22.0681,23.6395,22.315,22.312
O94874,UFL1,E3 UFM1-protein ligase 1,25.4591,26.6144,26.524,27.7879,27.7397,27.6997
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,24.5706,24.7776,23.8404,24.0408,23.2773,22.3237
O94905,ERLIN2,Erlin-2,27.9213,27.8318,28.125,28.3753,28.2811,28.3973
O94906,PRPF6,Pre-mRNA-processing factor 6,25.2781,25.2059,25.4084,26.0655,25.7279,25.1169
O94907,DKK1,Dickkopf-related protein 1,20.8976,21.6575,22.6827,21.2278,21.3003,21.4707
O94925,GLS,"Glutaminase kidney isoform, mitochondrial",26.7758,27.2994,26.3373,27.6013,27.3112,27.2162
O94973,AP2A2,AP-2 complex subunit alpha-2,24.7156,26.3319,25.2945,25.3912,25.0062,25.5503
O94979,SEC31A,Protein transport protein Sec31A,27.3501,27.4746,27.4375,28.0526,27.9221,28.4144
