ProteinID,Gene,Description,control_1 Intensity,control_2 Intensity,control_3 Intensity,treatment_1 Intensity,treatment_2 Intensity,treatment_3 Intensity
O00592,PODXL,Podocalyxin,25.8186,21.3467,22.1058,26.9538,26.1379,25.3671
O00629,KPNA4,Importin subunit alpha-3,26.0733,26.2454,26.3316,27.2677,26.8853,26.349
O00754,MAN2B1,Lysosomal alpha-mannosidase,22.4336,23.7959,21.1328,29.8292,30.2089,30.0335
O00767,SCD,Acyl-CoA desaturase,24.8243,22.8009,24.4147,25.5231,25.6312,23.9181
O14519,CDK2AP1,Cyclin-dependent kinase 2-associated protein 1,21.773,21.3,22.9327,22.4643,22.1784,23.3863
O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",21.0643,23.2141,19.8397,25.8862,23.9327,24.6608
O14602,EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal",21.7321,24.182,24.1697,22.0542,23.2995,23.4836
O14654,IRS4,Insulin receptor substrate 4,27.0367,26.1593,26.8064,26.6159,27.1346,26.4429
O14656,TOR1A,Torsin-1A,21.6491,21.4844,22.1299,25.2007,26.117,25.4023
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,23.1388,20.9032,23.0105,25.1621,26.3749,25.6376
O14681,EI24,Etoposide-induced protein 2.4 homolog,25.2789,23.1395,21.881,24.8002,24.1443,22.1303
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,25.0068,24.1721,24.5926,25.1864,25.5017,25.8668
O14744,PRMT5,Protein arginine N-methyltransferase 5,22.5971,24.2907,20.6067,25.317,23.9767,22.539
O14773,TPP1,Tripeptidyl-peptidase 1,25.277,20.7217,24.3238,29.9259,30.1792,30.4982
O14776,TCERG1,Transcription elongation regulator 1,26.846,26.9157,27.3361,26.9454,26.5503,25.6916
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,23.0028,21.1667,21.8848,22.2424,20.9241,21.8785
O14818,PSMA7,Proteasome subunit alpha type-7,24.1108,23.8636,25.0197,26.6255,25.0087,24.1566
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,26.4884,25.959,24.4407,27.5986,27.9973,26.7396
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",24.5266,24.0876,21.4229,24.4346,23.4559,21.5263
O14880,MGST3,Microsomal glutathione S-transferase 3,22.642,22.8116,21.8456,23.8336,23.5539,23.0443
O14925,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,25.6283,23.2795,23.8346,26.3989,26.6222,25.7308
O14936,CASK,Peripheral plasma membrane protein CASK,20.8839,21.7509,21.6468,24.2003,25.3244,25.6105
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,29.1099,29.1266,29.3953,27.841,29.0115,26.597
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,29.6779,30.0836,30.1825,29.7264,30.0613,30.0782
O14980,XPO1,Exportin-1,25.278,26.2542,27.0476,28.3306,28.0765,28.3638
O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",26.334,26.184,26.1091,26.4906,26.6454,26.7182
O15031,PLXNB2,Plexin-B2,24.3664,22.8265,22.1037,29.4621,29.544,29.6282
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,29.4781,28.6051,29.5319,28.0877,29.1241,29.3994
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,22.0614,24.0952,22.5302,26.2244,25.9558,25.0958
O15091,KIAA0391,Mitochondrial ribonuclease P catalytic subunit,21.3826,22.2245,21.5926,23.6878,23.5767,21.4874
O15118,NPC1,NPC intracellular cholesterol transporter 1,23.7513,21.3913,21.3924,28.1014,27.7651,27.0496
O15121,DEGS1,Sphingolipid delta(4)-desaturase DES1,24.9407,22.9464,21.445,24.0214,24.4565,22.9933
O15126,SCAMP1,Secretory carrier-associated membrane protein 1,22.6944,23.3294,22.0575,25.0763,24.826,21.0145
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,26.6674,24.459,29.2284,27.0049,26.3902,25.5319
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,24.2881,22.367,24.7308,24.9862,22.6308,21.2368
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,25.628,22.523,22.9282,26.2322,24.6658,25.5617
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,25.3459,26.6542,27.5369,27.3025,25.7433,26.9555
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,27.3233,27.0859,27.2974,28.5726,27.467,27.0862
O15213,WDR46,WD repeat-containing protein 46,28.6208,27.2081,26.8947,27.376,27.1473,27.0729
O15226,NKRF,NF-kappa-B-repressing factor,30.3175,29.4644,29.7538,29.2014,29.5583,29.466
O15228,GNPAT,Dihydroxyacetone phosphate acyltransferase,24.0717,25.3142,25.4659,26.2989,26.1903,26.3107
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial",25.9148,25.2494,24.0664,25.208,24.9531,24.9979
O15260,SURF4,Surfeit locus protein 4,26.5973,25.2141,25.8254,27.9064,27.7389,26.8604
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,22.1779,21.1786,21.4119,24.3013,25.2263,24.3424
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,26.7067,23.8497,25.3006,26.4363,25.7061,25.0424
O15381,NVL,Nuclear valosin-containing protein-like,27.1704,25.08,27.2646,26.4069,27.5284,27.3347
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",23.1088,21.5797,23.8373,25.5354,24.9367,24.2126
O15400,STX7,Syntaxin-7,26.4313,24.1464,26.3645,27.8404,27.4679,26.6976
O15446,CD3EAP,DNA-directed RNA polymerase I subunit RPA34,24.5031,26.8313,26.6298,22.047,28.1154,23.945
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,24.558,20.7239,24.9373,28.0971,27.3422,27.5284
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,31.2212,31.6523,32.0945,30.4996,30.776,30.7031
O43148,RNMT,mRNA cap guanine-N7 methyltransferase,24.1222,20.7735,21.1792,21.0829,24.6492,24.8407
O43159,RRP8,Ribosomal RNA-processing protein 8,27.0062,26.2999,26.1171,23.0556,27.6741,25.6371
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,24.9483,24.4839,25.7417,27.2025,26.4522,26.803
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,28.719,29.0629,29.0723,30.7655,29.465,29.7279
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,25.4887,23.7467,21.1453,25.1891,25.3524,24.5656
O43264,ZW10,Centromere/kinetochore protein zw10 homolog,24.6721,21.3313,23.9318,26.1415,26.1319,26.2652
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,27.2627,27.714,27.6979,25.0259,26.1292,25.7007
O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,24.1754,23.2834,22.3717,24.6164,22.5447,23.6532
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,32.4364,32.3945,32.3691,32.2858,32.3572,32.3646
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,26.1855,25.7678,26.0017,25.5478,25.7636,25.2373
O43399,TPD52L2,Tumor protein D54,21.7721,20.6948,22.3343,23.3271,23.6364,22.0364
O43402,EMC8,ER membrane protein complex subunit 8,27.3601,23.3256,27.0984,28.7367,28.8624,28.8527
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H,22.4228,23.5699,23.7914,22.3728,23.108,23.7113
O43448,KCNAB3,Voltage-gated potassium channel subunit beta-3,20.7387,20.3212,20.8316,23.328,23.1737,22.9344
O43464,HTRA2,"Serine protease HTRA2, mitochondrial",23.239,23.4572,23.0114,27.0015,26.7054,27.0133
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,23.2277,22.8029,19.8709,23.4117,24.5369,25.2158
O43491,EPB41L2,Band 4.1-like protein 2,29.4045,28.5294,29.1298,30.1745,30.1191,29.9563
O43567,RNF13,E3 ubiquitin-protein ligase RNF13,20.7988,22.893,20.953,26.0044,25.3364,25.3445
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,28.9582,28.8836,28.8409,29.7765,29.7474,29.5045
O43657,TSPAN6,Tetraspanin-6,25.2162,24.4228,23.0073,27.4547,28.2547,26.3447
O43660,PLRG1,Pleiotropic regulator 1,27.6018,26.5659,27.1229,26.0177,27.4601,26.5197
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",28.1831,22.6133,26.805,28.4106,28.6172,27.933
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,25.537,26.3285,25.4261,24.4117,22.9033,24.7168
O43684,BUB3,Mitotic checkpoint protein BUB3,20.9307,21.4786,21.7638,23.6835,22.5166,23.5272
O43707,ACTN4,Alpha-actinin-4,29.6551,29.055,29.7239,32.0371,31.6012,31.7614
O43776,NARS,"Asparagine--tRNA ligase, cytoplasmic",24.2663,23.8654,22.4801,26.1602,24.7392,24.2458
O43795,MYO1B,Unconventional myosin-Ib,24.7846,23.8042,23.6042,24.1198,23.9177,23.6446
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,26.6129,25.7915,27.0505,26.8635,26.3911,26.2311
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2,27.4791,26.7432,26.9073,26.75,27.1747,27.9529
O43819,SCO2,"Protein SCO2 homolog, mitochondrial",26.1507,25.0196,24.5626,28.3201,27.2016,27.2428
O43823,AKAP8,A-kinase anchor protein 8,25.1546,23.7661,23.8056,21.221,24.0782,24.658
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",27.2912,26.7549,27.2614,27.7517,28.2686,28.1254
O43852,CALU,Calumenin,28.1055,28.3042,28.0282,31.3783,31.3689,31.5946
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,21.5717,22.1176,22.0259,25.0988,24.1099,22.5634
O60216,RAD21,Double-strand-break repair protein rad21 homolog,24.8348,23.6759,21.3785,23.7038,25.7958,25.0382
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,21.7771,22.3521,21.553,22.3073,25.7566,26.1285
O60245,PCDH7,Protocadherin-7,23.2872,22.0572,20.7435,24.9417,25.5746,24.6244
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,31.7956,31.0127,31.4722,31.1453,31.8347,31.2537
O60279,SUSD5,Sushi domain-containing protein 5,21.7125,21.6078,22.4027,26.7947,26.9112,26.4132
O60287,URB1,Nucleolar pre-ribosomal-associated protein 1,22.3868,21.7919,23.7789,22.7147,23.3441,21.7256
O60306,AQR,RNA helicase aquarius,25.2605,23.1637,22.4833,24.8683,26.016,25.0552
O60313,OPA1,"Dynamin-like 120 kDa protein, mitochondrial",29.0554,28.0153,28.5569,31.464,31.549,31.2732
O60341,KDM1A,Lysine-specific histone demethylase 1A,25.412,24.7754,25.2757,25.6684,25.6154,25.0896
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,27.3613,25.3004,25.6711,26.7263,27.5202,26.8272
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,29.9455,29.8224,30.1227,30.0372,29.8535,29.6096
O60508,CDC40,Pre-mRNA-processing factor 17,24.9579,24.1235,24.2252,24.5567,24.5051,24.0822
O60518,RANBP6,Ran-binding protein 6,21.2456,22.6136,21.3653,24.4894,22.636,23.1387
O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",26.9528,26.8478,27.3971,29.8504,29.719,30.3729
O60637,TSPAN3,Tetraspanin-3,22.6415,23.316,21.371,28.6608,28.8841,28.8051
O60684,KPNA6,Importin subunit alpha-7,23.4828,22.9637,23.1263,23.0356,23.3001,22.9691
O60716,CTNND1,Catenin delta-1,28.0403,26.9113,27.5168,28.4715,28.7495,28.3502
O60749,SNX2,Sorting nexin-2,23.8323,21.2945,23.1484,24.0551,24.0299,23.9736
O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,26.3794,25.1138,26.2625,27.3796,26.8731,26.9895
O60763,USO1,General vesicular transport factor p115,26.5225,26.1296,25.9977,27.726,27.5729,27.919
O60783,MRPS14,"28S ribosomal protein S14, mitochondrial",26.918,25.3002,24.9974,24.8241,24.9711,24.3756
O60784,TOM1,Target of Myb protein 1,21.6027,21.9197,22.1746,21.9078,21.1495,22.3796
O60814,HIST1H2BK,Histone H2B type 1-K,32.4987,34.7724,34.3469,32.7594,33.75,33.5764
O60828,PQBP1,Polyglutamine-binding protein 1,24.7019,25.2661,25.0627,21.9628,23.815,23.4987
O60830,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B,24.6977,19.9615,21.1519,25.3983,24.3935,23.6996
O60831,PRAF2,PRA1 family protein 2,25.4216,24.5647,22.9896,26.1197,25.7076,24.6389
O60832,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,31.0779,29.9198,30.4864,29.701,30.1853,30.0502
O60841,EIF5B,Eukaryotic translation initiation factor 5B,23.5292,24.181,23.3573,23.3643,23.8274,20.4057
O60884,DNAJA2,DnaJ homolog subfamily A member 2,20.4173,22.0893,22.6539,21.6512,24.0054,24.3521
O60885,BRD4,Bromodomain-containing protein 4,24.9367,26.5086,25.1018,26.3569,25.2594,25.5188
O60934,NBN,Nibrin,23.0487,24.3521,22.593,24.0362,24.6383,22.3456
O75054,IGSF3,Immunoglobulin superfamily member 3,22.069,21.504,21.3249,22.5049,23.679,21.7617
O75083,WDR1,WD repeat-containing protein 1,24.7884,23.8265,24.5696,27.1664,25.2651,26.5985
O75127,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",22.4408,22.5235,21.3133,22.8127,23.8764,24.6236
O75151,PHF2,Lysine-specific demethylase PHF2,23.1826,22.0817,22.7296,22.3699,25.5096,20.8636
O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,27.4883,26.7931,27.1642,26.463,27.4562,27.1785
O75165,DNAJC13,DnaJ homolog subfamily C member 13,22.0191,22.7438,21.8791,23.1101,21.6077,21.4937
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",25.6164,26.4233,24.8272,24.7443,26.854,26.4562
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",27.4414,27.0721,26.6624,28.1077,28.4785,28.3163
O75323,NIPSNAP2,Protein NipSnap homolog 2,25.1474,22.147,25.3804,22.5233,26.2192,25.8089
O75367,H2AFY,Core histone macro-H2A.1,33.1706,31.7518,31.8984,31.6427,32.0189,31.6723
O75369,FLNB,Filamin-B,25.1976,25.0747,25.85,27.2562,27.1139,26.3097
O75380,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",24.178,22.6166,23.6101,24.4951,23.6865,24.6313
O75381,PEX14,Peroxisomal membrane protein PEX14,25.3999,23.4898,20.9239,26.5349,25.1162,24.1155
O75390,CS,"Citrate synthase, mitochondrial",30.8667,30.4481,30.6689,31.5328,31.4866,31.2283
O75394,MRPL33,"39S ribosomal protein L33, mitochondrial",24.2654,24.5584,24.1313,23.2177,23.4948,23.7506
O75400,PRPF40A,Pre-mRNA-processing factor 40 homolog A,28.9681,29.0249,29.6483,28.6658,28.8922,28.3299
O75431,MTX2,Metaxin-2,21.9006,24.7253,24.7062,27.7686,27.8378,27.7447
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,29.5359,29.1516,29.1861,30.3682,30.5084,30.4013
O75448,MED24,Mediator of RNA polymerase II transcription subunit 24,23.8663,23.8123,23.5979,24.3079,24.2549,24.0908
O75475,PSIP1,PC4 and SFRS1-interacting protein,29.5527,29.7059,29.7926,28.9223,29.7124,29.9237
O75489,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",27.3219,27.3612,27.1875,28.6405,28.9439,29.299
O75494,SRSF10,Serine/arginine-rich splicing factor 10,26.1602,26.2939,26.9189,26.3625,26.1496,26.7083
O75521,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",27.7371,26.9904,26.2666,28.1928,28.436,28.0711
O75530,EED,Polycomb protein EED,25.0254,21.9523,21.9092,24.6005,24.6341,24.0409
O75531,BANF1,Barrier-to-autointegration factor,26.9477,27.567,27.5048,26.5028,27.299,27.27
O75533,SF3B1,Splicing factor 3B subunit 1,30.0146,29.0378,29.3105,29.5032,30.3098,29.4214
O75534,CSDE1,Cold shock domain-containing protein E1,24.3184,24.5241,24.7028,26.4493,24.4903,24.3179
O75607,NPM3,Nucleoplasmin-3,22.9351,23.3816,21.7754,20.3489,24.4326,24.5386
O75608,LYPLA1,Acyl-protein thioesterase 1,22.1178,23.5279,21.669,23.9033,23.2816,23.2616
O75616,ERAL1,"GTPase Era, mitochondrial",24.312,24.0204,24.1811,24.8378,25.3215,24.6976
O75629,CREG1,Protein CREG1,25.7316,26.1409,25.727,29.3381,29.4603,29.8507
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,31.7705,30.9499,31.3463,31.127,31.4375,31.108
O75648,TRMU,Mitochondrial tRNA-specific 2-thiouridylase 1,22.6085,20.7618,23.3916,22.3714,24.4909,21.4519
O75683,SURF6,Surfeit locus protein 6,29.7275,27.5022,27.7239,28.1984,28.8563,26.9196
O75691,UTP20,Small subunit processome component 20 homolog,27.3979,26.5045,27.3003,23.6519,24.6559,26.4662
O75694,NUP155,Nuclear pore complex protein Nup155,28.7001,27.8339,28.4158,30.6312,30.9792,31.2592
O75695,RP2,Protein XRP2,22.4915,21.9025,21.8578,19.654,21.9807,24.8077
O75718,CRTAP,Cartilage-associated protein,26.895,27.0901,26.9948,30.1545,29.96,30.0206
O75746,SLC25A12,Calcium-binding mitochondrial carrier protein Aralar1,24.9794,21.016,23.8599,26.9879,27.5128,24.0305
O75787,ATP6AP2,Renin receptor,26.4761,22.4059,24.917,29.1982,29.2386,28.0832
O75794,CDC123,Cell division cycle protein 123 homolog,22.2347,21.3147,22.0555,22.5922,20.9562,20.7996
O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,24.9679,25.732,25.1985,25.8893,21.2078,22.6043
O75844,ZMPSTE24,CAAX prenyl protease 1 homolog,29.1726,28.8437,28.8586,29.3982,29.0783,27.8948
O75845,SC5D,Lathosterol oxidase,24.5946,22.6753,19.8822,24.2811,23.9456,22.9153
O75880,SCO1,"Protein SCO1 homolog, mitochondrial",26.4646,21.9714,27.1292,28.1666,27.774,27.8738
O75915,ARL6IP5,PRA1 family protein 3,27.0053,25.016,25,27.1162,26.6483,24.9429
O75934,BCAS2,Pre-mRNA-splicing factor SPF27,24.2978,25.3738,25.5764,22.4626,24.0379,25.2794
O75947,ATP5H,"ATP synthase subunit d, mitochondrial",25.9677,25.7605,29.0855,28.3637,26.4735,25.2053
O75955,FLOT1,Flotillin-1,26.2288,24.8402,24.3584,28.6066,28.7286,27.7966
O75976,CPD,Carboxypeptidase D,21.2046,22.683,21.2707,24.8194,26.4937,25.9729
O76021,RSL1D1,Ribosomal L1 domain-containing protein 1,33.6398,31.6582,31.6363,31.1735,32.0373,31.4061
O76031,CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",27.0438,27.1865,27.2616,27.8393,28.4355,28.5009
O76094,SRP72,Signal recognition particle subunit SRP72,22.9413,21.9513,22.7788,27.2852,26.6416,26.6446
O94762,RECQL5,ATP-dependent DNA helicase Q5,26.1003,27.0467,26.5227,25.2845,25.2681,25.4158
O94776,MTA2,Metastasis-associated protein MTA2,28.3112,26.171,26.6604,26.5574,27.6629,27.7661
O94813,SLIT2,Slit homolog 2 protein,24.8792,22.1928,23.8162,27.9671,28.9916,28.7595
O94826,TOMM70,Mitochondrial import receptor subunit TOM70,28.5753,26.6255,28.0547,29.6298,29.5601,28.3039
O94874,UFL1,E3 UFM1-protein ligase 1,28.5014,27.8562,28.0454,30.1742,30.3717,30.042
O94880,PHF14,PHD finger protein 14,25.7537,21.8109,26.1953,23.6196,25.7168,25.4761
O94905,ERLIN2,Erlin-2,28.1177,28.3298,28.6996,30.2204,30.2103,30.3257
O94906,PRPF6,Pre-mRNA-processing factor 6,28.8777,27.9306,28.2283,27.915,28.4918,28.3149
O94925,GLS,"Glutaminase kidney isoform, mitochondrial",27.0387,27.2639,27.2504,28.9826,29.09,29.056
O94973,AP2A2,AP-2 complex subunit alpha-2,27.8065,24.9229,26.2603,28.1763,28.5374,28.3504
O94983,CAMTA2,Calmodulin-binding transcription activator 2,22.3356,22.5457,22.5901,22.3182,21.9277,22.4447
O94991,SLITRK5,SLIT and NTRK-like protein 5,23.8969,22.3472,21.6401,24.5615,24.8008,24.6263
O95059,RPP14,Ribonuclease P protein subunit p14,23.3469,21.073,22.3081,22.7684,23.7904,23.7598
O95104,SCAF4,"Splicing factor, arginine/serine-rich 15",24.5035,23.4479,23.4436,22.9576,22.9992,23.0507
O95139,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,25.474,23.0694,22.3918,26.6383,26.8654,23.8681
O95140,MFN2,Mitofusin-2,21.9261,21.1637,22.3051,25.7487,24.5164,24.9643
O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,24.4701,23.4405,23.5963,23.6367,23.3486,23.4281
O95182,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,22.256,24.3437,23.4769,22.3454,24.2821,24.8537
O95197,RTN3,Reticulon-3,27.0803,25.8426,25.7472,28.0845,28.246,26.5682
O95202,LETM1,Mitochondrial proton/calcium exchanger protein,28.4112,23.8868,27.28,29.6712,29.3373,27.7674
O95232,LUC7L3,Luc7-like protein 3,27.722,29.2339,29.2228,27.3818,28.6244,27.8836
O95249,GOSR1,Golgi SNAP receptor complex member 1,23.9594,22.2117,22.7487,25.7104,25.044,22.7751
O95251,KAT7,Histone acetyltransferase KAT7,24.5453,24.0439,24.0968,19.0442,23.9766,23.7951
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C,26.2413,22.877,22.586,27.583,26.7337,25.3508
O95297,MPZL1,Myelin protein zero-like protein 1,24.7738,23.0159,23.1113,26.5839,26.8183,26.4463
O95298,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2,24.6032,23.7396,23.3769,24.1026,25.8595,23.6226
O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",27.5982,27.2372,26.6183,28.5726,28.1173,28.5075
